MAC_Address,Time,Building
0007C6,2015-09-25 00:00:00,Christensen
00506A,2015-09-25 00:00:00,Gibbs
00662B,2015-09-25 00:00:02,Engelhardt
006273,2015-09-25 00:00:02,Williamson
00246B,2015-09-25 00:00:04,Randall
0010EF,2015-09-25 00:00:04,Handler
002C74,2015-09-25 00:00:06,Engelhardt
0002F6,2015-09-25 00:00:06,Hetzel
0000EF,2015-09-25 00:00:09,Williamson
0002F0,2015-09-25 00:00:09,Congreve
00029F,2015-09-25 00:00:11,McLaughlin
000038,2015-09-25 00:00:12,Scott
000AA2,2015-09-25 00:00:12,Scott
001FEC,2015-09-25 00:00:12,Christensen
00068F,2015-09-25 00:00:13,Gables Building C
004E46,2015-09-25 00:00:15,Hitchcock
004D70,2015-09-25 00:00:15,Congreve
004D70,2015-09-25 00:00:15,McLaughlin
000376,2015-09-25 00:00:15,Handler
0062C5,2015-09-25 00:00:16,Williamson
00297F,2015-09-25 00:00:16,Devine
004CE9,2015-09-25 00:00:17,Scott
004DFC,2015-09-25 00:00:18,Peterson
00090E,2015-09-25 00:00:20,Hubbard
000A57,2015-09-25 00:00:21,Hitchcock
004DDE,2015-09-25 00:00:22,Gables North
0010EF,2015-09-25 00:00:25,Peterson
0017CB,2015-09-25 00:00:25,Mills
00629F,2015-09-25 00:00:26,Mills
000528,2015-09-25 00:00:26,Engelhardt
00272B,2015-09-25 00:00:27,Devine
00179E,2015-09-25 00:00:27,Fairchild
000BBF,2015-09-25 00:00:27,Devine
000AE8,2015-09-25 00:00:27,Hetzel
000473,2015-09-25 00:00:28,Scott
004D2B,2015-09-25 00:00:29,Woodside
00065E,2015-09-25 00:00:31,Gables Building B
002F1F,2015-09-25 00:00:33,Scott
001FA4,2015-09-25 00:00:34,Gables Building C
000233,2015-09-25 00:00:34,Fairchild
000AE8,2015-09-25 00:00:35,Alexander
000298,2015-09-25 00:00:36,Christensen
00527C,2015-09-25 00:00:37,Hubbard
00272B,2015-09-25 00:00:38,Engelhardt
000AEE,2015-09-25 00:00:38,Gibbs
0026C1,2015-09-25 00:00:38,Stoke
001217,2015-09-25 00:00:38,Haaland
003328,2015-09-25 00:00:39,Scott
00012D,2015-09-25 00:00:39,Williamson
002DB6,2015-09-25 00:00:40,Congreve
000964,2015-09-25 00:00:42,Gibbs
000ECF,2015-09-25 00:00:42,Gables South
002058,2015-09-25 00:00:44,Handler
0012E4,2015-09-25 00:00:44,Gables Building C
004905,2015-09-25 00:00:45,Congreve
0026EA,2015-09-25 00:00:45,Scott
00179E,2015-09-25 00:00:45,Mills
003143,2015-09-25 00:00:46,Gables South
0002F6,2015-09-25 00:00:48,Mills
008BB9,2015-09-25 00:00:50,Peterson
000C30,2015-09-25 00:00:50,Randall
005168,2015-09-25 00:00:51,Randall
0067E2,2015-09-25 00:00:53,Williamson
000ECF,2015-09-25 00:00:54,Gables Building A
00069C,2015-09-25 00:00:54,Lord
000E88,2015-09-25 00:00:54,Christensen
0043E0,2015-09-25 00:00:55,Stoke
006A22,2015-09-25 00:00:56,Hetzel
003B9C,2015-09-25 00:00:56,Stoke
000616,2015-09-25 00:00:57,Gibbs
000717,2015-09-25 00:00:57,Devine
0000A4,2015-09-25 00:00:57,Mills
000233,2015-09-25 00:00:58,Mills
0003AF,2015-09-25 00:00:59,Fairchild
000C0A,2015-09-25 00:01:00,Stoke
000383,2015-09-25 00:01:01,Stoke
000558,2015-09-25 00:01:02,Haaland
000CDE,2015-09-25 00:01:03,Devine
0006CB,2015-09-25 00:01:04,Alexander
000E33,2015-09-25 00:01:05,McLaughlin
004E46,2015-09-25 00:01:05,Engelhardt
00A828,2015-09-25 00:01:06,Christensen
002117,2015-09-25 00:01:07,Randall
002C74,2015-09-25 00:01:08,Devine
0037F5,2015-09-25 00:01:08,Scott
000398,2015-09-25 00:01:08,Babcock
0011F2,2015-09-25 00:01:09,Scott
003354,2015-09-25 00:01:09,Gables Building C
0010EF,2015-09-25 00:01:13,Richardson
000CDE,2015-09-25 00:01:13,Randall
0058C7,2015-09-25 00:01:14,Randall
0010A6,2015-09-25 00:01:14,Gables Building B
004BCB,2015-09-25 00:01:14,Richardson
004BBD,2015-09-25 00:01:15,Devine
0018DC,2015-09-25 00:01:15,Devine
005BE0,2015-09-25 00:01:16,Congreve
0007F9,2015-09-25 00:01:16,Devine
002F1F,2015-09-25 00:01:16,Congreve
0008D5,2015-09-25 00:01:16,Engelhardt
002A22,2015-09-25 00:01:18,Peterson
00044D,2015-09-25 00:01:18,Randall
0009E4,2015-09-25 00:01:19,Engelhardt
000393,2015-09-25 00:01:19,Engelhardt
001206,2015-09-25 00:01:19,Sawyer
000601,2015-09-25 00:01:19,Gibbs
000CDE,2015-09-25 00:01:20,Devine
000A05,2015-09-25 00:01:21,Devine
0050B1,2015-09-25 00:01:21,Randall
002C74,2015-09-25 00:01:22,Gibbs
0007F9,2015-09-25 00:01:23,Randall
004E46,2015-09-25 00:01:23,Devine
0008AA,2015-09-25 00:01:24,Devine
0005BF,2015-09-25 00:01:25,Randall
008C85,2015-09-25 00:01:25,Babcock
00044D,2015-09-25 00:01:25,Devine
000CE2,2015-09-25 00:01:26,Devine
002C76,2015-09-25 00:01:28,Gables Building B
004D4A,2015-09-25 00:01:28,Devine
000F56,2015-09-25 00:01:29,Handler
000588,2015-09-25 00:01:29,Haaland
0010EF,2015-09-25 00:01:31,Eaton House
00005F,2015-09-25 00:01:32,Devine
0007F9,2015-09-25 00:01:32,Devine
0009E4,2015-09-25 00:01:34,Gibbs
000275,2015-09-25 00:01:34,Christensen
